sugar_content,caffeine_content,acidity_level,carbonation_level,soda_type
90,42,43,6.502985292000001,Coca_Cola
85,58,41,7.038096361,Coca_Cola
60,55,44,7.840207144,Coca_Cola
74,35,40,6.980400905,Coca_Cola
78,42,42,7.628472891,Coca_Cola
69,37,42,7.073453503,Coca_Cola
69,55,38,5.70080568,Coca_Cola
94,53,40,5.718627177999999,Coca_Cola
89,54,38,6.685346424,Coca_Cola
68,58,38,6.336253525,Coca_Cola
91,53,40,5.386167788,Coca_Cola
90,46,42,7.50283396,Coca_Cola
78,58,44,5.108681786,Coca_Cola
93,56,36,6.98435366,Coca_Cola
94,50,37,6.94801983,Coca_Cola
60,48,39,7.042299068999999,Coca_Cola
85,38,41,6.2490506560000005,Coca_Cola
91,35,39,6.970859754,Coca_Cola
77,38,36,5.953933276,Coca_Cola
88,35,40,5.85393208,Coca_Cola
89,45,36,6.442475375,Coca_Cola
76,40,43,5.070175667,Coca_Cola
67,59,41,6.012632591,Coca_Cola
83,41,43,6.254028451,Coca_Cola
98,47,37,7.375482851,Coca_Cola
66,53,41,7.778915154,Coca_Cola
97,59,43,6.2865001760000006,Coca_Cola
97,50,41,7.070959995,Coca_Cola
60,49,44,6.244841491,Coca_Cola
84,51,35,6.043304899,Coca_Cola
73,57,41,5.824709117,Coca_Cola
92,35,40,6.3573893660000005,Coca_Cola
85,37,39,6.364134967999999,Coca_Cola
98,53,38,5.01450727,Coca_Cola
88,54,44,6.149410611,Coca_Cola
95,55,42,5.950660556,Coca_Cola
99,57,35,5.960370061,Coca_Cola
95,39,36,5.561398642,Coca_Cola
60,43,44,7.416245107000001,Coca_Cola
63,44,41,5.583370042,Coca_Cola
62,42,36,6.430010215,Coca_Cola
64,45,43,5.534878156,Coca_Cola
83,60,36,6.903985986,Coca_Cola
82,40,40,6.271478837999999,Coca_Cola
85,52,45,7.224285503,Coca_Cola
91,35,38,6.13428721,Coca_Cola
76,49,42,5.206373153,Coca_Cola
74,39,38,7.782051312999999,Coca_Cola
79,43,39,7.062779015,Coca_Cola
88,55,45,7.730367824,Coca_Cola
60,36,43,5.286203711000001,Coca_Cola
76,60,39,6.766240045,Coca_Cola
93,56,42,7.382762603,Coca_Cola
65,60,43,5.658169482000001,Coca_Cola
95,52,36,5.543360237999999,Coca_Cola
75,38,39,6.215109715,Coca_Cola
74,54,38,7.120272972,Coca_Cola
91,36,45,5.950647577000001,Coca_Cola
71,46,40,7.236705436,Coca_Cola
99,55,35,6.501697816,Coca_Cola
72,40,38,7.592490617,Coca_Cola
83,58,45,5.875345751,Coca_Cola
93,58,38,6.932400225,Coca_Cola
70,36,42,6.9462098810000015,Coca_Cola
76,47,42,5.739175027000001,Coca_Cola
99,41,36,6.738652179,Coca_Cola
99,54,37,5.5948196260000005,Coca_Cola
86,59,35,6.946636369,Coca_Cola
69,46,41,5.012139669,Coca_Cola
91,56,37,6.363472207999999,Coca_Cola
61,52,41,6.880431223,Coca_Cola
67,45,38,7.300410836,Coca_Cola
79,42,37,6.587918707999999,Coca_Cola
78,43,42,7.283736617000001,Coca_Cola
75,54,36,7.023936392,Coca_Cola
97,36,45,6.939083505,Coca_Cola
67,47,44,7.868474653,Coca_Cola
73,35,38,5.005306977,Coca_Cola
77,36,37,6.136131869,Coca_Cola
81,41,38,7.5240800760000015,Coca_Cola
68,57,43,5.706943251,Coca_Cola
72,45,35,5.758506323,Coca_Cola
